N,P,K,temperature,humidity,ph,rainfall,label
90,42.0,43.0,20.87974371,82.00274423,6.502985292,203.9832,rice
85,58.0,41.0,22.00094,80.31964408,7.038096361,226.6555374,rice
60,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,rice
74,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,rice
78,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,rice
69,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,rice
69,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,rice
94,53.0,40.0,20.27774362,82.89408619,5.718627178,241.9741949,rice
89,54.0,38.0,24.51588066,83.5352163,6.685346424,230.4462359,rice
68,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,rice
91,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,rice
90,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,rice
78,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,rice
93,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,rice
94,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,rice
60,48.0,39.0,24.28209415,80.30025587,7.042299069,231.0863347,rice
85,38.0,41.0,21.58711777,82.7883708,6.249050656,276.6552459,rice
91,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,rice
77,38.0,36.0,21.8652524,80.1923008,5.953933276,224.5550169,rice
88,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618,rice
89,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,rice
76,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,rice
67,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,rice
83,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,rice
98,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,rice
66,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,rice
97,59.0,43.0,26.35927159,84.04403589,6.286500176,271.3586137,rice
97,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,rice
60,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,rice
84,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,rice
73,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,rice
92,35.0,40.0,22.17931888,80.33127223,6.357389366,200.0882787,rice
